,Luchthaven,Periode,Totaal aantal vluchten,Totaal aantal aangekomen vluchten,Totaal aantal vertrokken vluchten,Totaal aantal passagiers,Totaal aantal aangekomen passagiers,Totaal aantal vertrokken passagiers,Totaal aantal passagiers op Europese vluchten,Totaal aantal passagiers op intercontinentale vluchten,Totaal aantal passagiers met onbekende herkomst/bestemming,Weeknummer,Totaal aantal overledenen,Verwacht aantal overledenen,Verwacht aantal overledenen (95%-interval),LAT,LNG,Maatregelen
0,Amsterdam Airport Schiphol,2020 januari,37567,18784,18783,5074773,2561003,2513770,3452707,1622066,0,1,3103,3277,2908 – 3645,52.3105386,4.7682744,Eerste signalen corona (jan '20)
1,Amsterdam Airport Schiphol,2020 januari,37567,18784,18783,5074773,2561003,2513770,3452707,1622066,0,2,3364,3311,2930 – 3692,52.3105386,4.7682744,Eerste signalen corona (jan '20)
2,Amsterdam Airport Schiphol,2020 januari,37567,18784,18783,5074773,2561003,2513770,3452707,1622066,0,3,3157,3344,2945 – 3742,52.3105386,4.7682744,Eerste signalen corona (jan '20)
3,Amsterdam Airport Schiphol,2020 januari,37567,18784,18783,5074773,2561003,2513770,3452707,1622066,0,4,3046,3392,3008 – 3776,52.3105386,4.7682744,Eerste signalen corona (jan '20)
4,Rotterdam The Hague Airport,2020 januari,963,481,482,99080,51119,47961,90361,8719,0,1,3103,3277,2908 – 3645,51.9555086,4.4398832,Eerste signalen corona (jan '20)
5,Rotterdam The Hague Airport,2020 januari,963,481,482,99080,51119,47961,90361,8719,0,2,3364,3311,2930 – 3692,51.9555086,4.4398832,Eerste signalen corona (jan '20)
6,Rotterdam The Hague Airport,2020 januari,963,481,482,99080,51119,47961,90361,8719,0,3,3157,3344,2945 – 3742,51.9555086,4.4398832,Eerste signalen corona (jan '20)
7,Rotterdam The Hague Airport,2020 januari,963,481,482,99080,51119,47961,90361,8719,0,4,3046,3392,3008 – 3776,51.9555086,4.4398832,Eerste signalen corona (jan '20)
8,Eindhoven Airport,2020 januari,2554,1277,1277,400991,202475,198516,375641,25350,0,1,3103,3277,2908 – 3645,51.4583691,5.3920556,Eerste signalen corona (jan '20)
9,Eindhoven Airport,2020 januari,2554,1277,1277,400991,202475,198516,375641,25350,0,2,3364,3311,2930 – 3692,51.4583691,5.3920556,Eerste signalen corona (jan '20)
10,Eindhoven Airport,2020 januari,2554,1277,1277,400991,202475,198516,375641,25350,0,3,3157,3344,2945 – 3742,51.4583691,5.3920556,Eerste signalen corona (jan '20)
11,Eindhoven Airport,2020 januari,2554,1277,1277,400991,202475,198516,375641,25350,0,4,3046,3392,3008 – 3776,51.4583691,5.3920556,Eerste signalen corona (jan '20)
12,Maastricht Aachen Airport,2020 januari,474,238,236,15115,8177,6938,9549,5566,0,1,3103,3277,2908 – 3645,50.9123207,5.7694951,Eerste signalen corona (jan '20)
13,Maastricht Aachen Airport,2020 januari,474,238,236,15115,8177,6938,9549,5566,0,2,3364,3311,2930 – 3692,50.9123207,5.7694951,Eerste signalen corona (jan '20)
14,Maastricht Aachen Airport,2020 januari,474,238,236,15115,8177,6938,9549,5566,0,3,3157,3344,2945 – 3742,50.9123207,5.7694951,Eerste signalen corona (jan '20)
15,Maastricht Aachen Airport,2020 januari,474,238,236,15115,8177,6938,9549,5566,0,4,3046,3392,3008 – 3776,50.9123207,5.7694951,Eerste signalen corona (jan '20)
16,Groningen Airport Eelde,2020 januari,210,104,106,5290,2612,2678,5290,0,0,1,3103,3277,2908 – 3645,53.2145858,6.5887355,Eerste signalen corona (jan '20)
17,Groningen Airport Eelde,2020 januari,210,104,106,5290,2612,2678,5290,0,0,2,3364,3311,2930 – 3692,53.2145858,6.5887355,Eerste signalen corona (jan '20)
18,Groningen Airport Eelde,2020 januari,210,104,106,5290,2612,2678,5290,0,0,3,3157,3344,2945 – 3742,53.2145858,6.5887355,Eerste signalen corona (jan '20)
19,Groningen Airport Eelde,2020 januari,210,104,106,5290,2612,2678,5290,0,0,4,3046,3392,3008 – 3776,53.2145858,6.5887355,Eerste signalen corona (jan '20)
20,Amsterdam Airport Schiphol,2020 februari,34979,17492,17487,4719769,2342660,2377109,3330655,1389114,0,5,3164,3407,3027 – 3788,52.3105386,4.7682744,Eerste coronabesmetting in Nederland (feb '20)
21,Amsterdam Airport Schiphol,2020 februari,34979,17492,17487,4719769,2342660,2377109,3330655,1389114,0,6,3196,3401,2979 – 3823,52.3105386,4.7682744,Eerste coronabesmetting in Nederland (feb '20)
22,Amsterdam Airport Schiphol,2020 februari,34979,17492,17487,4719769,2342660,2377109,3330655,1389114,0,7,3198,3408,2916 – 3901,52.3105386,4.7682744,Eerste coronabesmetting in Nederland (feb '20)
23,Amsterdam Airport Schiphol,2020 februari,34979,17492,17487,4719769,2342660,2377109,3330655,1389114,0,8,2959,3387,2851 – 3922,52.3105386,4.7682744,Eerste coronabesmetting in Nederland (feb '20)
24,Rotterdam The Hague Airport,2020 februari,1031,506,525,104062,49988,54074,97069,6993,0,5,3164,3407,3027 – 3788,51.9555086,4.4398832,Eerste coronabesmetting in Nederland (feb '20)
25,Rotterdam The Hague Airport,2020 februari,1031,506,525,104062,49988,54074,97069,6993,0,6,3196,3401,2979 – 3823,51.9555086,4.4398832,Eerste coronabesmetting in Nederland (feb '20)
26,Rotterdam The Hague Airport,2020 februari,1031,506,525,104062,49988,54074,97069,6993,0,7,3198,3408,2916 – 3901,51.9555086,4.4398832,Eerste coronabesmetting in Nederland (feb '20)
27,Rotterdam The Hague Airport,2020 februari,1031,506,525,104062,49988,54074,97069,6993,0,8,2959,3387,2851 – 3922,51.9555086,4.4398832,Eerste coronabesmetting in Nederland (feb '20)
28,Eindhoven Airport,2020 februari,2649,1328,1321,438828,214069,224759,410047,28781,0,5,3164,3407,3027 – 3788,51.4583691,5.3920556,Eerste coronabesmetting in Nederland (feb '20)
29,Eindhoven Airport,2020 februari,2649,1328,1321,438828,214069,224759,410047,28781,0,6,3196,3401,2979 – 3823,51.4583691,5.3920556,Eerste coronabesmetting in Nederland (feb '20)
30,Eindhoven Airport,2020 februari,2649,1328,1321,438828,214069,224759,410047,28781,0,7,3198,3408,2916 – 3901,51.4583691,5.3920556,Eerste coronabesmetting in Nederland (feb '20)
31,Eindhoven Airport,2020 februari,2649,1328,1321,438828,214069,224759,410047,28781,0,8,2959,3387,2851 – 3922,51.4583691,5.3920556,Eerste coronabesmetting in Nederland (feb '20)
32,Maastricht Aachen Airport,2020 februari,476,237,239,14354,7233,7121,8083,6271,0,5,3164,3407,3027 – 3788,50.9123207,5.7694951,Eerste coronabesmetting in Nederland (feb '20)
33,Maastricht Aachen Airport,2020 februari,476,237,239,14354,7233,7121,8083,6271,0,6,3196,3401,2979 – 3823,50.9123207,5.7694951,Eerste coronabesmetting in Nederland (feb '20)
34,Maastricht Aachen Airport,2020 februari,476,237,239,14354,7233,7121,8083,6271,0,7,3198,3408,2916 – 3901,50.9123207,5.7694951,Eerste coronabesmetting in Nederland (feb '20)
35,Maastricht Aachen Airport,2020 februari,476,237,239,14354,7233,7121,8083,6271,0,8,2959,3387,2851 – 3922,50.9123207,5.7694951,Eerste coronabesmetting in Nederland (feb '20)
36,Groningen Airport Eelde,2020 februari,164,82,82,4587,2292,2295,4587,0,0,5,3164,3407,3027 – 3788,53.2145858,6.5887355,Eerste coronabesmetting in Nederland (feb '20)
37,Groningen Airport Eelde,2020 februari,164,82,82,4587,2292,2295,4587,0,0,6,3196,3401,2979 – 3823,53.2145858,6.5887355,Eerste coronabesmetting in Nederland (feb '20)
38,Groningen Airport Eelde,2020 februari,164,82,82,4587,2292,2295,4587,0,0,7,3198,3408,2916 – 3901,53.2145858,6.5887355,Eerste coronabesmetting in Nederland (feb '20)
39,Groningen Airport Eelde,2020 februari,164,82,82,4587,2292,2295,4587,0,0,8,2959,3387,2851 – 3922,53.2145858,6.5887355,Eerste coronabesmetting in Nederland (feb '20)
40,Amsterdam Airport Schiphol,2020 maart,25155,12626,12529,2476372,1298133,1178239,1641935,834437,0,9,3098,3352,2805 – 3898,52.3105386,4.7682744,Begin intelligente lockdown (mrt '20)
41,Amsterdam Airport Schiphol,2020 maart,25155,12626,12529,2476372,1298133,1178239,1641935,834437,0,10,3107,3315,2785 – 3845,52.3105386,4.7682744,Begin intelligente lockdown (mrt '20)
42,Amsterdam Airport Schiphol,2020 maart,25155,12626,12529,2476372,1298133,1178239,1641935,834437,0,11,3218,3253,2756 – 3751,52.3105386,4.7682744,Begin intelligente lockdown (mrt '20)
43,Amsterdam Airport Schiphol,2020 maart,25155,12626,12529,2476372,1298133,1178239,1641935,834437,0,12,3614,3174,2711 – 3637,52.3105386,4.7682744,Begin intelligente lockdown (mrt '20)
44,Amsterdam Airport Schiphol,2020 maart,25155,12626,12529,2476372,1298133,1178239,1641935,834437,0,13,4458,3104,2703 – 3505,52.3105386,4.7682744,Begin intelligente lockdown (mrt '20)
45,Rotterdam The Hague Airport,2020 maart,748,369,379,62870,36664,26206,57788,5082,0,9,3098,3352,2805 – 3898,51.9555086,4.4398832,Begin intelligente lockdown (mrt '20)
46,Rotterdam The Hague Airport,2020 maart,748,369,379,62870,36664,26206,57788,5082,0,10,3107,3315,2785 – 3845,51.9555086,4.4398832,Begin intelligente lockdown (mrt '20)
47,Rotterdam The Hague Airport,2020 maart,748,369,379,62870,36664,26206,57788,5082,0,11,3218,3253,2756 – 3751,51.9555086,4.4398832,Begin intelligente lockdown (mrt '20)
48,Rotterdam The Hague Airport,2020 maart,748,369,379,62870,36664,26206,57788,5082,0,12,3614,3174,2711 – 3637,51.9555086,4.4398832,Begin intelligente lockdown (mrt '20)
49,Rotterdam The Hague Airport,2020 maart,748,369,379,62870,36664,26206,57788,5082,0,13,4458,3104,2703 – 3505,51.9555086,4.4398832,Begin intelligente lockdown (mrt '20)
50,Eindhoven Airport,2020 maart,1888,939,949,225071,121612,103459,210026,15045,0,9,3098,3352,2805 – 3898,51.4583691,5.3920556,Begin intelligente lockdown (mrt '20)
51,Eindhoven Airport,2020 maart,1888,939,949,225071,121612,103459,210026,15045,0,10,3107,3315,2785 – 3845,51.4583691,5.3920556,Begin intelligente lockdown (mrt '20)
52,Eindhoven Airport,2020 maart,1888,939,949,225071,121612,103459,210026,15045,0,11,3218,3253,2756 – 3751,51.4583691,5.3920556,Begin intelligente lockdown (mrt '20)
53,Eindhoven Airport,2020 maart,1888,939,949,225071,121612,103459,210026,15045,0,12,3614,3174,2711 – 3637,51.4583691,5.3920556,Begin intelligente lockdown (mrt '20)
54,Eindhoven Airport,2020 maart,1888,939,949,225071,121612,103459,210026,15045,0,13,4458,3104,2703 – 3505,51.4583691,5.3920556,Begin intelligente lockdown (mrt '20)
55,Maastricht Aachen Airport,2020 maart,485,236,249,7242,4398,2844,4364,2873,5,9,3098,3352,2805 – 3898,50.9123207,5.7694951,Begin intelligente lockdown (mrt '20)
56,Maastricht Aachen Airport,2020 maart,485,236,249,7242,4398,2844,4364,2873,5,10,3107,3315,2785 – 3845,50.9123207,5.7694951,Begin intelligente lockdown (mrt '20)
57,Maastricht Aachen Airport,2020 maart,485,236,249,7242,4398,2844,4364,2873,5,11,3218,3253,2756 – 3751,50.9123207,5.7694951,Begin intelligente lockdown (mrt '20)
58,Maastricht Aachen Airport,2020 maart,485,236,249,7242,4398,2844,4364,2873,5,12,3614,3174,2711 – 3637,50.9123207,5.7694951,Begin intelligente lockdown (mrt '20)
59,Maastricht Aachen Airport,2020 maart,485,236,249,7242,4398,2844,4364,2873,5,13,4458,3104,2703 – 3505,50.9123207,5.7694951,Begin intelligente lockdown (mrt '20)
60,Groningen Airport Eelde,2020 maart,30,14,16,1999,1201,798,1999,0,0,9,3098,3352,2805 – 3898,53.2145858,6.5887355,Begin intelligente lockdown (mrt '20)
61,Groningen Airport Eelde,2020 maart,30,14,16,1999,1201,798,1999,0,0,10,3107,3315,2785 – 3845,53.2145858,6.5887355,Begin intelligente lockdown (mrt '20)
62,Groningen Airport Eelde,2020 maart,30,14,16,1999,1201,798,1999,0,0,11,3218,3253,2756 – 3751,53.2145858,6.5887355,Begin intelligente lockdown (mrt '20)
63,Groningen Airport Eelde,2020 maart,30,14,16,1999,1201,798,1999,0,0,12,3614,3174,2711 – 3637,53.2145858,6.5887355,Begin intelligente lockdown (mrt '20)
64,Groningen Airport Eelde,2020 maart,30,14,16,1999,1201,798,1999,0,0,13,4458,3104,2703 – 3505,53.2145858,6.5887355,Begin intelligente lockdown (mrt '20)
65,Amsterdam Airport Schiphol,2020 april,4236,2118,2118,126015,70038,55977,67687,58328,0,14,5085,3024,2712 – 3337,52.3105386,4.7682744,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
66,Amsterdam Airport Schiphol,2020 april,4236,2118,2118,126015,70038,55977,67687,58328,0,15,4982,2957,2719 – 3195,52.3105386,4.7682744,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
67,Amsterdam Airport Schiphol,2020 april,4236,2118,2118,126015,70038,55977,67687,58328,0,16,4308,2915,2711 – 3120,52.3105386,4.7682744,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
68,Amsterdam Airport Schiphol,2020 april,4236,2118,2118,126015,70038,55977,67687,58328,0,17,3910,2869,2677 – 3060,52.3105386,4.7682744,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
69,Rotterdam The Hague Airport,2020 april,41,17,24,0,0,0,0,0,0,14,5085,3024,2712 – 3337,51.9555086,4.4398832,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
70,Rotterdam The Hague Airport,2020 april,41,17,24,0,0,0,0,0,0,15,4982,2957,2719 – 3195,51.9555086,4.4398832,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
71,Rotterdam The Hague Airport,2020 april,41,17,24,0,0,0,0,0,0,16,4308,2915,2711 – 3120,51.9555086,4.4398832,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
72,Rotterdam The Hague Airport,2020 april,41,17,24,0,0,0,0,0,0,17,3910,2869,2677 – 3060,51.9555086,4.4398832,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
73,Eindhoven Airport,2020 april,148,75,73,7732,4740,2992,7732,0,0,14,5085,3024,2712 – 3337,51.4583691,5.3920556,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
74,Eindhoven Airport,2020 april,148,75,73,7732,4740,2992,7732,0,0,15,4982,2957,2719 – 3195,51.4583691,5.3920556,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
75,Eindhoven Airport,2020 april,148,75,73,7732,4740,2992,7732,0,0,16,4308,2915,2711 – 3120,51.4583691,5.3920556,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
76,Eindhoven Airport,2020 april,148,75,73,7732,4740,2992,7732,0,0,17,3910,2869,2677 – 3060,51.4583691,5.3920556,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
77,Maastricht Aachen Airport,2020 april,329,162,167,5,0,5,3,0,2,14,5085,3024,2712 – 3337,50.9123207,5.7694951,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
78,Maastricht Aachen Airport,2020 april,329,162,167,5,0,5,3,0,2,15,4982,2957,2719 – 3195,50.9123207,5.7694951,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
79,Maastricht Aachen Airport,2020 april,329,162,167,5,0,5,3,0,2,16,4308,2915,2711 – 3120,50.9123207,5.7694951,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
80,Maastricht Aachen Airport,2020 april,329,162,167,5,0,5,3,0,2,17,3910,2869,2677 – 3060,50.9123207,5.7694951,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
81,Groningen Airport Eelde,2020 april,5,3,2,0,0,0,0,0,0,14,5085,3024,2712 – 3337,53.2145858,6.5887355,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
82,Groningen Airport Eelde,2020 april,5,3,2,0,0,0,0,0,0,15,4982,2957,2719 – 3195,53.2145858,6.5887355,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
83,Groningen Airport Eelde,2020 april,5,3,2,0,0,0,0,0,0,16,4308,2915,2711 – 3120,53.2145858,6.5887355,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
84,Groningen Airport Eelde,2020 april,5,3,2,0,0,0,0,0,0,17,3910,2869,2677 – 3060,53.2145858,6.5887355,Verlenging maatregelen en uitbreiding van testbeleid (apr '20)
85,Amsterdam Airport Schiphol,2020 mei,5873,2930,2943,207827,109314,98513,131546,76281,0,18,3383,2841,2650 – 3032,52.3105386,4.7682744,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
86,Amsterdam Airport Schiphol,2020 mei,5873,2930,2943,207827,109314,98513,131546,76281,0,19,2989,2821,2633 – 3009,52.3105386,4.7682744,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
87,Amsterdam Airport Schiphol,2020 mei,5873,2930,2943,207827,109314,98513,131546,76281,0,20,2777,2794,2626 – 2962,52.3105386,4.7682744,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
88,Amsterdam Airport Schiphol,2020 mei,5873,2930,2943,207827,109314,98513,131546,76281,0,21,2770,2770,2620 – 2920,52.3105386,4.7682744,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
89,Amsterdam Airport Schiphol,2020 mei,5873,2930,2943,207827,109314,98513,131546,76281,0,22,2732,2753,2608 – 2898,52.3105386,4.7682744,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
90,Rotterdam The Hague Airport,2020 mei,46,19,27,134,78,56,134,0,0,18,3383,2841,2650 – 3032,51.9555086,4.4398832,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
91,Rotterdam The Hague Airport,2020 mei,46,19,27,134,78,56,134,0,0,19,2989,2821,2633 – 3009,51.9555086,4.4398832,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
92,Rotterdam The Hague Airport,2020 mei,46,19,27,134,78,56,134,0,0,20,2777,2794,2626 – 2962,51.9555086,4.4398832,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
93,Rotterdam The Hague Airport,2020 mei,46,19,27,134,78,56,134,0,0,21,2770,2770,2620 – 2920,51.9555086,4.4398832,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
94,Rotterdam The Hague Airport,2020 mei,46,19,27,134,78,56,134,0,0,22,2732,2753,2608 – 2898,51.9555086,4.4398832,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
95,Eindhoven Airport,2020 mei,178,92,86,12108,7472,4636,12108,0,0,18,3383,2841,2650 – 3032,51.4583691,5.3920556,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
96,Eindhoven Airport,2020 mei,178,92,86,12108,7472,4636,12108,0,0,19,2989,2821,2633 – 3009,51.4583691,5.3920556,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
97,Eindhoven Airport,2020 mei,178,92,86,12108,7472,4636,12108,0,0,20,2777,2794,2626 – 2962,51.4583691,5.3920556,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
98,Eindhoven Airport,2020 mei,178,92,86,12108,7472,4636,12108,0,0,21,2770,2770,2620 – 2920,51.4583691,5.3920556,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
99,Eindhoven Airport,2020 mei,178,92,86,12108,7472,4636,12108,0,0,22,2732,2753,2608 – 2898,51.4583691,5.3920556,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
100,Maastricht Aachen Airport,2020 mei,452,226,226,4,2,2,4,0,0,18,3383,2841,2650 – 3032,50.9123207,5.7694951,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
101,Maastricht Aachen Airport,2020 mei,452,226,226,4,2,2,4,0,0,19,2989,2821,2633 – 3009,50.9123207,5.7694951,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
102,Maastricht Aachen Airport,2020 mei,452,226,226,4,2,2,4,0,0,20,2777,2794,2626 – 2962,50.9123207,5.7694951,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
103,Maastricht Aachen Airport,2020 mei,452,226,226,4,2,2,4,0,0,21,2770,2770,2620 – 2920,50.9123207,5.7694951,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
104,Maastricht Aachen Airport,2020 mei,452,226,226,4,2,2,4,0,0,22,2732,2753,2608 – 2898,50.9123207,5.7694951,"Basisscholen open, meeste contactberoepen mogelijk (mei '20)"
